inventory_id,store_id,film_id,title,rating,rental_rate,category,rental_count,total_revenue,last_rental_date
142,1,29,Antitrust Tomatoes,NC-17,2.99,Action,5,17.96,2005-08-20 19:33:21
143,1,29,Antitrust Tomatoes,NC-17,2.99,Action,5,9.97,2005-08-21 01:31:25
145,1,30,Anything Savannah,R,2.99,Horror,5,28.96,2005-08-22 02:09:12
146,1,31,Apache Divine,NC-17,4.99,Family,5,20.96,2005-08-22 20:37:57
150,2,31,Apache Divine,NC-17,4.99,Family,5,19.96,2005-08-21 02:11:38
151,2,31,Apache Divine,NC-17,4.99,Family,5,22.96,2005-08-17 16:36:12
158,2,34,Arabia Dogma,NC-17,0.99,Horror,5,9.96,2005-08-17 23:14:25
178,2,39,Armageddon Lost,G,0.99,Sci-Fi,5,8.96,2005-08-20 22:24:35
182,2,40,Army Flintstones,R,0.99,Documentary,5,13.96,2005-08-20 02:37:07
184,2,40,Army Flintstones,R,0.99,Documentary,5,10.96,2005-08-22 18:27:33
186,2,42,Artist Coldblooded,NC-17,2.99,Sports,5,20.96,2005-08-20 22:00:43
187,2,42,Artist Coldblooded,NC-17,2.99,Sports,5,15.96,2005-08-22 17:02:23
190,1,43,Atlantis Cause,G,2.99,Family,5,12.96,2005-08-17 00:41:08
194,2,43,Atlantis Cause,G,2.99,Family,5,11.97,2005-08-17 17:39:45
205,2,45,Attraction Newton,PG-13,4.99,New,5,23.96,2005-08-20 09:53:44
207,2,46,Autumn Crow,G,4.99,Games,5,22.96,2005-08-21 22:25:53
210,2,47,Baby Hall,NC-17,4.99,Foreign,5,22.96,2005-08-22 03:47:39
212,1,48,Backlash Undefeated,PG-13,4.99,Children,5,31.96,2005-08-21 11:02:09
213,1,48,Backlash Undefeated,PG-13,4.99,Children,5,35.96,2005-08-17 12:22:04
214,2,48,Backlash Undefeated,PG-13,4.99,Children,5,38.96,2005-08-19 17:26:55
225,2,50,Baked Cleopatra,G,2.99,Family,5,20.96,2005-08-23 15:54:20
227,1,51,Balloon Homeward,NC-17,2.99,Music,5,12.96,2005-08-22 13:41:49
234,2,52,Ballroom Mockingbird,G,0.99,Foreign,5,6.96,2005-08-22 15:42:57
239,1,54,Banger Pinocchio,R,0.99,Music,5,9.96,2005-08-19 21:20:11
241,2,54,Banger Pinocchio,R,0.99,Music,5,7.96,2005-08-19 14:22:30
242,1,55,Barbarella Streetcar,G,2.99,Sci-Fi,5,15.96,2005-08-18 11:57:00
245,1,55,Barbarella Streetcar,G,2.99,Sci-Fi,5,12.96,2005-08-23 20:45:53
249,1,56,Barefoot Manchurian,G,2.99,Action,5,15.96,2005-08-22 08:55:43
258,2,57,Basic Easy,PG-13,2.99,Travel,5,15.96,2006-02-14 15:16:03
261,2,58,Beach Heartbreakers,G,2.99,Documentary,5,17.96,2005-08-20 05:50:52
263,2,58,Beach Heartbreakers,G,2.99,Documentary,5,11.97,2005-08-18 15:11:35
266,1,59,Bear Graceland,R,2.99,Children,5,15.96,2005-08-23 11:56:22
267,2,59,Bear Graceland,R,2.99,Children,5,15.96,2005-08-21 05:35:17
268,2,59,Bear Graceland,R,2.99,Children,5,19.96,2005-08-21 01:57:26
270,1,60,Beast Hunchback,R,4.99,Classics,5,31.96,2005-08-22 19:28:02
273,1,61,Beauty Grease,G,4.99,Drama,5,25.96,2005-08-20 13:13:56
280,1,63,Bedazzled Married,PG,0.99,Family,5,4.96,2005-08-22 20:49:51
288,2,65,Behavior Runaway,PG,4.99,Horror,5,32.96,2005-08-22 04:11:02
299,2,67,Berets Agent,PG-13,2.99,Action,5,8.97,2005-08-20 06:11:51
301,1,68,Betrayed Rear,NC-17,4.99,Children,5,23.96,2005-08-21 03:35:58
303,2,68,Betrayed Rear,NC-17,4.99,Children,5,27.96,2005-08-20 14:56:53
314,2,70,Bikini Borrowers,NC-17,4.99,Animation,5,22.96,2005-08-21 03:51:34
316,2,71,Bilko Anonymous,PG-13,4.99,Family,5,26.96,2005-08-23 14:55:47
327,1,73,Bingo Talented,PG-13,2.99,Sci-Fi,5,14.97,2005-08-17 01:53:20
330,2,73,Bingo Talented,PG-13,2.99,Sci-Fi,5,15.96,2005-08-18 14:23:55
331,2,73,Bingo Talented,PG-13,2.99,Sci-Fi,5,15.96,2005-08-18 18:00:23
339,2,75,Bird Independence,G,4.99,Travel,5,17.97,2005-08-22 09:34:32
350,2,77,Birds Perdition,G,4.99,New,5,24.96,2005-08-20 08:32:51
352,1,78,Blackout Private,PG,2.99,Animation,5,14.96,2005-08-20 02:36:17
353,1,78,Blackout Private,PG,2.99,Animation,5,12.96,2005-08-22 04:51:42
354,2,78,Blackout Private,PG,2.99,Animation,5,8.97,2005-08-21 07:07:26
360,1,79,Blade Polish,PG-13,0.99,Drama,5,3.96,2005-08-19 10:28:22
363,2,79,Blade Polish,PG-13,0.99,Drama,5,3.97,2006-02-14 15:16:03
367,1,80,Blanket Beverly,G,2.99,Family,5,8.97,2005-08-20 07:34:42
368,1,81,Blindness Gun,PG-13,4.99,Sci-Fi,5,19.96,2005-08-19 09:55:20
372,1,82,Blood Argonauts,G,0.99,Family,5,15.97,2005-08-22 00:51:25
373,1,82,Blood Argonauts,G,0.99,Family,5,14.96,2005-08-17 01:11:53
375,1,83,Blues Instinct,G,2.99,Family,5,15.96,2005-08-17 03:48:51
377,2,83,Blues Instinct,G,2.99,Family,5,14.97,2005-08-22 05:03:59
379,1,84,Boiled Dares,PG,4.99,Travel,5,21.96,2005-08-20 12:11:46
380,1,84,Boiled Dares,PG,4.99,Travel,5,19.96,2005-08-19 18:35:52
386,2,85,Bonnie Holocaust,G,0.99,Documentary,5,8.96,2005-08-21 07:59:47
387,1,86,Boogie Amelie,R,4.99,Music,5,25.95,2006-02-14 15:16:03
389,1,86,Boogie Amelie,R,4.99,Music,5,21.96,2005-08-19 09:17:35
390,1,86,Boogie Amelie,R,4.99,Music,5,22.96,2005-08-20 06:36:46
393,2,86,Boogie Amelie,R,4.99,Music,5,19.96,2005-08-18 23:07:01
399,1,89,Borrowers Bedazzled,G,0.99,Animation,5,3.96,2005-08-22 12:01:48
403,2,89,Borrowers Bedazzled,G,0.99,Animation,5,3.96,2005-08-22 17:46:12
407,1,90,Boulevard Mob,R,0.99,New,5,3.97,2006-02-14 15:16:03
424,2,93,Brannigan Sunrise,PG,4.99,New,5,19.96,2005-08-18 02:09:23
425,2,93,Brannigan Sunrise,PG,4.99,New,5,22.97,2005-08-23 16:24:24
431,2,95,Breakfast Goldfinger,G,4.99,New,5,23.96,2005-08-20 06:00:25
434,1,96,Breaking Home,PG-13,2.99,New,5,17.96,2005-08-18 07:21:47
435,1,96,Breaking Home,PG-13,2.99,New,5,14.97,2005-08-19 00:59:42
441,2,97,Bride Intrigue,G,0.99,Action,5,3.96,2005-08-22 00:23:13
443,1,98,Bright Encounters,PG-13,4.99,Drama,5,29.96,2005-08-18 05:05:28
451,1,100,Brooklyn Desert,R,4.99,Foreign,5,19.96,2005-08-20 11:29:32
452,1,100,Brooklyn Desert,R,4.99,Foreign,5,19.96,2005-08-18 10:01:50
458,1,101,Brotherhood Blanket,R,0.99,Documentary,5,16.96,2005-08-19 14:40:32
460,1,101,Brotherhood Blanket,R,0.99,Documentary,5,12.96,2005-08-17 08:29:46
461,2,101,Brotherhood Blanket,R,0.99,Documentary,5,16.96,2005-08-19 20:02:33
466,1,103,Bucket Brotherhood,PG,4.99,Travel,5,23.96,2005-08-17 02:53:14
468,1,103,Bucket Brotherhood,PG,4.99,Travel,5,19.96,2005-08-22 10:46:44
469,2,103,Bucket Brotherhood,PG,4.99,Travel,5,21.96,2005-08-17 20:40:46
470,2,103,Bucket Brotherhood,PG,4.99,Travel,5,14.97,2005-08-19 11:39:58
471,2,103,Bucket Brotherhood,PG,4.99,Travel,5,22.96,2005-08-20 17:17:00
473,2,104,Bugsy Song,G,2.99,Foreign,5,17.97,2005-08-19 02:31:59
485,1,109,Butterfly Chocolat,G,0.99,New,5,16.96,2005-08-19 12:04:16
487,1,109,Butterfly Chocolat,G,0.99,New,5,16.96,2005-08-16 22:52:54
491,2,109,Butterfly Chocolat,G,0.99,New,5,15.96,2005-08-21 19:35:59
495,1,110,Cabin Flash,NC-17,0.99,Children,5,10.96,2005-08-17 19:19:44
497,2,111,Caddyshack Jedi,NC-17,0.99,Action,5,6.96,2005-08-23 14:13:47
500,2,111,Caddyshack Jedi,NC-17,0.99,Action,5,8.96,2005-08-23 14:27:07
503,1,112,Calendar Gunfight,NC-17,4.99,Foreign,5,31.96,2005-08-23 00:49:24
511,2,113,California Birds,NC-17,4.99,Sports,5,23.96,2005-08-23 12:46:38
515,1,114,Camelot Vacation,NC-17,0.99,Sci-Fi,5,14.97,2005-08-20 12:13:24
522,2,115,Campus Remember,R,2.99,Action,5,16.96,2005-08-18 01:15:47
530,2,116,Candidate Perdition,R,2.99,Classics,5,19.96,2005-08-21 15:22:37
533,1,117,Candles Grapes,NC-17,4.99,Games,5,21.96,2005-08-20 02:33:17
535,1,117,Candles Grapes,NC-17,4.99,Games,5,22.96,2005-08-22 06:01:26
536,2,117,Candles Grapes,NC-17,4.99,Games,5,22.96,2005-08-22 06:49:29
548,2,119,Caper Motions,G,0.99,Comedy,5,5.96,2005-08-21 17:45:52
553,1,120,Caribbean Liberty,NC-17,4.99,Sports,5,33.96,2005-08-21 08:18:18
578,2,126,Casualties Encino,G,4.99,Action,5,30.96,2005-08-19 17:09:22
581,1,127,Cat Coneheads,G,4.99,Comedy,5,24.96,2006-02-14 15:16:03
585,2,127,Cat Coneheads,G,4.99,Comedy,5,14.97,2005-08-19 20:59:19
592,2,129,Cause Date,R,2.99,Documentary,5,14.96,2005-08-22 10:55:42
593,2,129,Cause Date,R,2.99,Documentary,5,28.96,2005-08-17 19:32:44
595,1,130,Celebrity Horn,PG-13,0.99,Action,5,6.96,2005-08-20 11:24:48
597,2,130,Celebrity Horn,PG-13,0.99,Action,5,3.96,2005-08-20 03:12:43
599,2,130,Celebrity Horn,PG-13,0.99,Action,5,3.96,2005-08-20 04:33:31
600,1,131,Center Dinosaur,PG,4.99,Classics,5,19.96,2005-08-17 22:17:09
601,1,131,Center Dinosaur,PG,4.99,Classics,5,22.96,2005-08-20 13:03:26
602,1,131,Center Dinosaur,PG,4.99,Classics,5,19.96,2005-08-19 21:14:45
609,1,132,Chainsaw Uptown,PG,0.99,Sci-Fi,5,3.96,2005-08-19 15:18:55
611,2,132,Chainsaw Uptown,PG,0.99,Sci-Fi,5,6.96,2005-08-23 15:37:31
617,2,134,Champion Flatliners,PG,4.99,Animation,5,18.97,2005-08-23 16:44:25
619,1,135,Chance Resurrection,R,2.99,Sports,5,16.96,2005-08-22 19:44:16
622,2,135,Chance Resurrection,R,2.99,Sports,5,18.96,2005-08-18 08:02:46
623,2,135,Chance Resurrection,R,2.99,Sports,5,13.96,2005-08-22 10:14:39
630,2,137,Charade Duffel,PG,2.99,Sci-Fi,5,17.96,2005-08-23 02:37:19
632,2,137,Charade Duffel,PG,2.99,Sci-Fi,5,28.96,2005-08-21 10:24:00
633,1,138,Chariots Conspiracy,R,2.99,Sci-Fi,5,17.96,2005-08-21 06:44:37
635,2,138,Chariots Conspiracy,R,2.99,Sci-Fi,5,11.96,2005-08-22 06:17:12
638,1,139,Chasing Fight,PG,4.99,Family,5,26.96,2005-08-23 04:52:22
644,1,140,Cheaper Clyde,G,0.99,Sci-Fi,5,8.96,2005-08-19 00:15:09
646,2,140,Cheaper Clyde,G,0.99,Sci-Fi,5,6.96,2005-08-17 22:04:17
647,2,140,Cheaper Clyde,G,0.99,Sci-Fi,5,6.96,2005-08-20 17:17:07
651,1,141,Chicago North,PG-13,4.99,Games,5,20.96,2005-08-17 22:20:29
655,1,142,Chicken Hellfighters,PG,0.99,Documentary,5,16.96,2005-08-23 22:06:34
656,1,142,Chicken Hellfighters,PG,0.99,Documentary,5,5.96,2005-08-17 12:25:17
657,2,142,Chicken Hellfighters,PG,0.99,Documentary,5,10.96,2005-08-22 05:38:55
661,1,143,Chill Luck,PG,0.99,Drama,5,8.96,2005-08-19 07:34:53
666,2,145,Chisum Behavior,G,4.99,Family,5,14.97,2005-08-20 08:57:28
667,2,145,Chisum Behavior,G,4.99,Family,5,20.96,2005-08-20 03:35:16
674,1,147,Chocolat Harry,NC-17,0.99,Family,5,9.96,2005-08-19 15:14:38
679,1,149,Christmas Moonshine,NC-17,0.99,Children,5,7.96,2005-08-22 06:45:57
687,2,150,Cider Desire,PG,2.99,Documentary,5,13.96,2005-08-21 19:36:59
688,2,150,Cider Desire,PG,2.99,Documentary,5,12.96,2005-08-17 04:27:46
691,1,151,Cincinatti Whisperer,NC-17,4.99,Sci-Fi,5,23.96,2005-08-20 02:18:30
697,1,152,Circus Youth,PG-13,2.99,Children,5,12.96,2005-08-23 12:41:07
708,2,154,Clash Freddy,G,2.99,Animation,5,15.96,2005-08-22 07:50:44
709,1,155,Cleopatra Devil,PG-13,0.99,New,5,8.96,2005-08-21 15:39:01
712,2,155,Cleopatra Devil,PG-13,0.99,New,5,8.96,2005-08-17 04:18:52
715,2,156,Clerks Angels,G,4.99,Documentary,5,30.96,2005-08-18 14:47:28
719,1,158,Clones Pinocchio,R,2.99,Music,5,15.96,2005-08-22 05:53:52
723,2,158,Clones Pinocchio,R,2.99,Music,5,12.96,2005-08-18 16:16:41
726,1,159,Closer Bang,R,4.99,Comedy,5,21.96,2005-08-17 08:12:26
727,1,159,Closer Bang,R,4.99,Comedy,5,26.96,2005-08-22 21:28:59
729,2,159,Closer Bang,R,4.99,Comedy,5,25.96,2005-08-19 11:06:16
730,2,159,Closer Bang,R,4.99,Comedy,5,23.96,2005-08-19 09:43:39
734,2,160,Club Graffiti,PG-13,0.99,Animation,5,15.96,2005-08-21 01:00:46
739,1,162,Clueless Bucket,R,2.99,Action,5,19.96,2005-08-22 14:25:21
742,2,162,Clueless Bucket,R,2.99,Action,5,17.96,2005-08-23 00:44:15
749,1,164,Coast Rainbow,PG,0.99,Documentary,5,10.96,2005-08-21 10:38:17
751,2,164,Coast Rainbow,PG,0.99,Documentary,5,6.96,2005-08-21 17:07:08
752,2,164,Coast Rainbow,PG,0.99,Documentary,5,4.96,2005-08-21 05:56:36
760,1,166,Color Philadelphia,G,2.99,Classics,5,17.96,2005-08-23 22:06:15
763,2,166,Color Philadelphia,G,2.99,Classics,5,14.96,2005-08-21 08:29:20
764,1,167,Coma Head,NC-17,4.99,Travel,5,20.96,2005-08-23 02:06:41
766,1,167,Coma Head,NC-17,4.99,Travel,5,24.96,2005-08-17 20:21:35
769,2,167,Coma Head,NC-17,4.99,Travel,5,19.96,2005-08-21 02:31:35
775,2,169,Comforts Rush,NC-17,2.99,Travel,5,18.96,2005-08-19 16:50:50
776,2,169,Comforts Rush,NC-17,2.99,Travel,5,12.96,2005-08-18 18:18:08
785,1,172,Coneheads Smoochy,NC-17,4.99,Drama,5,21.96,2005-08-21 19:37:10
794,2,173,Confessions Maguire,PG-13,4.99,Drama,5,19.96,2005-08-22 15:21:56
797,1,174,Confidential Interview,NC-17,4.99,Music,5,22.96,2005-08-17 14:43:23
800,2,174,Confidential Interview,NC-17,4.99,Music,5,18.97,2005-08-21 22:45:21
802,2,174,Confidential Interview,NC-17,4.99,Music,5,15.97,2005-08-20 14:37:49
810,2,176,Congeniality Quest,PG-13,0.99,Sports,5,9.96,2005-08-21 09:50:02
811,2,176,Congeniality Quest,PG-13,0.99,Sports,5,3.97,2005-08-21 09:55:47
815,2,177,Connecticut Tramp,R,4.99,Sci-Fi,5,19.97,2005-08-22 05:47:15
818,1,178,Connection Microcosmos,G,0.99,Comedy,5,6.97,2005-08-20 22:50:59
819,1,179,Conquerer Nuts,G,4.99,Drama,5,22.96,2005-08-20 09:04:30
821,1,179,Conquerer Nuts,G,4.99,Drama,5,22.96,2005-08-22 11:17:59
826,1,181,Contact Anonymous,PG-13,2.99,Travel,5,11.96,2005-08-20 09:33:58
830,2,181,Contact Anonymous,PG-13,2.99,Travel,5,11.96,2005-08-19 04:03:34
833,1,182,Control Anthem,G,4.99,Comedy,5,21.96,2005-08-18 19:43:46
842,2,184,Core Suit,PG-13,2.99,Classics,5,18.97,2005-08-19 18:46:56
847,1,186,Craft Outfield,NC-17,0.99,Drama,5,4.96,2005-08-21 10:19:25
848,1,186,Craft Outfield,NC-17,0.99,Drama,5,6.96,2005-08-19 03:07:57
851,2,187,Cranes Reservoir,NC-17,2.99,Sports,5,14.97,2005-08-17 10:59:24
865,2,190,Creepers Kane,NC-17,4.99,Classics,5,22.96,2005-08-17 19:16:18
872,2,191,Crooked Frogmen,PG-13,0.99,Children,5,9.96,2005-08-17 09:51:39
886,1,196,Cruelty Unforgiven,G,0.99,Classics,5,4.96,2005-08-23 02:39:37
887,1,197,Crusade Honey,R,2.99,Sports,5,25.96,2005-08-23 13:01:43
898,1,200,Curtain Videotape,PG-13,0.99,Games,5,5.97,2005-08-19 21:31:45
901,2,200,Curtain Videotape,PG-13,0.99,Games,5,5.96,2005-08-21 18:29:13
907,1,201,Cyclone Family,PG,2.99,Foreign,5,11.96,2005-08-23 18:41:11
909,1,202,Daddy Pittsburgh,G,4.99,Comedy,5,21.96,2005-08-20 16:47:34
910,1,202,Daddy Pittsburgh,G,4.99,Comedy,5,22.96,2005-08-22 01:17:16
914,2,203,Daisy Menagerie,G,4.99,Sci-Fi,5,21.96,2005-08-20 02:05:57
917,1,204,Dalmations Sweden,PG,0.99,Drama,5,16.96,2005-08-17 08:24:35
921,2,204,Dalmations Sweden,PG,0.99,Drama,5,15.96,2005-08-18 03:57:29
924,1,205,Dances None,NC-17,0.99,Action,5,11.96,2005-08-22 07:07:50
928,1,206,Dancing Fever,G,0.99,Documentary,5,10.96,2005-08-21 19:42:36
933,2,206,Dancing Fever,G,0.99,Documentary,5,6.96,2005-08-20 09:11:42
938,1,208,Dares Pluto,PG-13,2.99,Animation,5,12.96,2005-08-17 14:04:28
944,1,209,Darkness War,NC-17,2.99,Drama,5,13.96,2005-08-19 13:18:10
946,2,210,Darko Dorado,NC-17,4.99,Action,5,34.96,2005-08-20 17:13:48
949,1,211,Darling Breaking,PG-13,4.99,Games,5,23.96,2005-08-19 21:31:31
952,1,212,Darn Forrester,G,4.99,Action,5,19.96,2005-08-22 05:31:53
955,1,213,Date Speed,R,0.99,Family,5,11.96,2005-08-21 16:32:32
965,1,215,Dawn Pond,PG,4.99,Games,5,31.96,2005-08-19 09:21:10
971,2,216,Day Unfaithful,G,4.99,New,5,26.97,2005-08-20 12:06:45
984,1,219,Deep Crusade,PG-13,4.99,Documentary,5,20.96,2005-08-21 04:53:37
989,2,220,Deer Virginian,NC-17,2.99,Music,5,8.97,2005-08-20 11:38:16
992,2,220,Deer Virginian,NC-17,2.99,Music,5,12.96,2005-08-21 07:22:43
1007,1,226,Destiny Saturday,G,4.99,New,5,21.96,2005-08-21 02:56:52
1012,1,227,Details Packer,R,4.99,Games,5,26.96,2006-02-14 15:16:03
1019,2,228,Detective Vision,PG-13,0.99,Classics,5,11.96,2005-08-17 23:50:24
1020,2,228,Detective Vision,PG-13,0.99,Classics,5,4.96,2006-02-14 15:16:03
1021,2,228,Detective Vision,PG-13,0.99,Classics,5,8.96,2005-08-17 10:18:57
1025,2,229,Devil Desire,R,4.99,Action,5,24.96,2005-08-23 11:22:09
1027,1,230,Diary Panic,G,2.99,Drama,5,11.96,2005-08-20 21:23:54
1041,2,232,Dirty Ace,NC-17,2.99,Games,5,11.97,2005-08-17 09:03:31
1044,1,233,Disciple Mother,PG,0.99,Travel,5,14.96,2005-08-19 03:46:34
1050,1,234,Disturbing Scarface,R,2.99,Sci-Fi,5,14.96,2005-08-17 22:31:04
1053,2,234,Disturbing Scarface,R,2.99,Sci-Fi,5,15.96,2005-08-16 23:54:34
1054,2,234,Disturbing Scarface,R,2.99,Sci-Fi,5,13.96,2005-08-18 13:54:48
1066,1,237,Divorce Shining,G,2.99,Sports,5,12.97,2005-08-18 20:06:34
1067,1,238,Doctor Grail,G,2.99,Children,5,15.97,2005-08-20 19:04:40
1069,1,239,Dogma Family,G,4.99,Animation,5,22.96,2005-08-20 21:39:23
1070,1,239,Dogma Family,G,4.99,Animation,5,22.96,2005-08-20 23:20:10
1077,2,240,Dolls Rage,PG-13,2.99,Sci-Fi,5,12.96,2005-08-22 01:00:42
1083,1,241,Donnie Alley,NC-17,0.99,Animation,5,8.96,2005-08-21 20:25:13
1084,1,242,Doom Dancing,R,0.99,Comedy,5,5.97,2005-08-20 12:46:17
1085,1,242,Doom Dancing,R,0.99,Comedy,5,17.96,2005-08-17 13:04:41
1086,2,242,Doom Dancing,R,0.99,Comedy,5,11.96,2005-08-18 02:03:59
1090,1,243,Doors President,NC-17,4.99,Animation,5,34.96,2005-08-21 07:48:34
1096,1,244,Dorado Notting,NC-17,4.99,Music,5,25.96,2005-08-23 18:48:40
1097,1,244,Dorado Notting,NC-17,4.99,Music,5,22.96,2005-08-18 09:36:34
1099,2,244,Dorado Notting,NC-17,4.99,Music,5,20.97,2005-08-17 07:21:22
1102,1,245,Double Wrath,R,0.99,Animation,5,13.96,2005-08-23 00:56:01
1103,1,245,Double Wrath,R,0.99,Animation,5,8.97,2005-08-20 13:47:19
1111,2,246,Doubtfire Labyrinth,R,4.99,Foreign,5,27.96,2005-08-21 00:44:34
1113,1,247,Downhill Enough,G,0.99,Comedy,5,13.96,2005-08-21 17:40:05
1116,2,247,Downhill Enough,G,0.99,Comedy,5,11.97,2005-08-20 08:59:38
1118,2,247,Downhill Enough,G,0.99,Comedy,5,16.96,2005-08-20 08:38:24
1119,2,248,Dozen Lion,NC-17,4.99,Documentary,5,21.96,2005-08-18 12:26:37
1122,1,249,Dracula Crystal,G,0.99,Classics,5,5.96,2005-08-23 20:29:56
1123,2,249,Dracula Crystal,G,0.99,Classics,5,3.96,2005-08-18 03:08:23
1131,1,251,Dragonfly Strangers,NC-17,4.99,New,5,21.96,2005-08-22 00:41:24
1133,2,251,Dragonfly Strangers,NC-17,4.99,New,5,14.97,2005-08-20 10:22:08
1137,1,252,Dream Pickup,PG,2.99,Action,5,17.96,2005-08-21 09:08:14
1139,2,252,Dream Pickup,PG,2.99,Action,5,13.96,2005-08-22 02:20:44
1144,1,253,Drifter Commandments,PG-13,4.99,Action,5,23.96,2005-08-23 02:46:13
1146,2,253,Drifter Commandments,PG-13,4.99,Action,5,21.96,2006-02-14 15:16:03
1150,2,254,Driver Annie,PG-13,2.99,Sports,5,16.96,2005-08-21 05:29:55
1152,2,254,Driver Annie,PG-13,2.99,Sports,5,16.96,2005-08-18 01:17:32
1156,1,255,Driving Polish,NC-17,4.99,Music,5,22.96,2005-08-21 23:11:23
1158,2,255,Driving Polish,NC-17,4.99,Music,5,19.96,2005-08-20 19:32:29
1160,2,256,Drop Waterfront,R,4.99,Sports,5,23.96,2005-08-21 17:39:41
1162,2,257,Drumline Cyclone,G,0.99,Travel,5,15.96,2005-08-18 01:07:00
1172,2,260,Dude Blindness,G,4.99,Sports,5,27.96,2005-08-21 15:51:38
1174,2,260,Dude Blindness,G,4.99,Sports,5,19.97,2005-08-22 14:29:11
1183,2,263,Durham Panky,R,4.99,Sports,5,22.96,2005-08-22 01:12:44
1186,2,264,Dwarfs Alter,G,2.99,Games,5,12.96,2006-02-14 15:16:03
1188,1,265,Dying Maker,PG,4.99,Comedy,5,24.96,2005-08-17 16:56:28
1191,1,265,Dying Maker,PG,4.99,Comedy,5,20.96,2005-08-17 13:24:55
1197,2,266,Dynamite Tarzan,PG-13,0.99,Classics,5,9.97,2005-08-18 15:49:08
1201,1,267,Eagles Panky,NC-17,4.99,New,5,29.96,2005-08-22 15:23:59
1203,1,267,Eagles Panky,NC-17,4.99,New,5,25.96,2005-08-21 17:11:47
1206,2,268,Early Home,NC-17,4.99,Animation,5,21.96,2005-08-21 17:57:26
1208,1,269,Earring Instinct,R,0.99,Family,5,12.97,2005-08-17 11:48:47
1221,1,271,Easy Gladiator,G,4.99,Action,5,24.96,2005-08-17 17:21:35
1222,1,271,Easy Gladiator,G,4.99,Action,5,28.96,2005-08-17 06:52:41
1225,2,271,Easy Gladiator,G,4.99,Action,5,23.96,2005-08-18 12:56:37
1227,1,272,Edge Kissing,NC-17,4.99,Drama,5,22.96,2005-08-19 07:00:35
1229,1,272,Edge Kissing,NC-17,4.99,Drama,5,24.96,2005-08-23 20:41:09
1230,1,273,Effect Gladiator,PG,0.99,Family,5,10.96,2005-08-17 16:40:00
1231,1,273,Effect Gladiator,PG,0.99,Family,5,4.96,2006-02-14 15:16:03
1235,2,273,Effect Gladiator,PG,0.99,Family,5,3.97,2005-08-20 13:00:30
